BowlingTeam,BattingTeam,Innings,Over,Bowler,Batter,Event,Over_Num,Phase,IsDot,IsExtra,EstimatedRuns,MatchDate,Venue
Nepal,Scotland,1,7.2,Kushal Malla,Christopher McBride,1 run,7,Powerplay,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,7.3,Kushal Malla,Richie Berrington,no run,7,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,7.4,Kushal Malla,Richie Berrington,OUT,7,Powerplay,False,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,7.5,Kushal Malla,Tomas Mackintosh,FOUR runs,7,Powerplay,False,False,4,2023-02-17,Kirtipur
Nepal,Scotland,1,7.6,Kushal Malla,Tomas Mackintosh,no run,7,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,8.1,Sandeep Lamichhane,Christopher McBride,1 run,8,Powerplay,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,8.2,Sandeep Lamichhane,Tomas Mackintosh,no run,8,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,8.3,Sandeep Lamichhane,Tomas Mackintosh,FOUR runs,8,Powerplay,False,False,4,2023-02-17,Kirtipur
Nepal,Scotland,1,8.4,Sandeep Lamichhane,Tomas Mackintosh,no run,8,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,8.5,Sandeep Lamichhane,Tomas Mackintosh,no run,8,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,8.6,Sandeep Lamichhane,Tomas Mackintosh,no run,8,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,9.1,Kushal Malla,Christopher McBride,no run,9,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,9.2,Kushal Malla,Christopher McBride,3 runs,9,Powerplay,False,False,3,2023-02-17,Kirtipur
Nepal,Scotland,1,9.3,Kushal Malla,Tomas Mackintosh,1 run,9,Powerplay,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,9.4,Kushal Malla,Christopher McBride,2 runs,9,Powerplay,False,False,2,2023-02-17,Kirtipur
Nepal,Scotland,1,9.5,Kushal Malla,Christopher McBride,no run,9,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,9.6,Kushal Malla,Christopher McBride,no run,9,Powerplay,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,10.1,Sandeep Lamichhane,Tomas Mackintosh,no run,10,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,10.2,Sandeep Lamichhane,Tomas Mackintosh,no run,10,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,10.3,Sandeep Lamichhane,Tomas Mackintosh,no run,10,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,10.4,Sandeep Lamichhane,Tomas Mackintosh,1 run,10,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,10.5,Sandeep Lamichhane,Christopher McBride,1 run,10,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,10.6,Sandeep Lamichhane,Tomas Mackintosh,no run,10,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,11.1,Kushal Malla,Christopher McBride,OUT,11,Middle,False,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,11.2,Kushal Malla,Matthew Cross,no run,11,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,11.3,Kushal Malla,Matthew Cross,no run,11,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,11.4,Kushal Malla,Matthew Cross,no run,11,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,11.5,Kushal Malla,Matthew Cross,no run,11,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,11.6,Kushal Malla,Matthew Cross,no run,11,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,12.1,Sandeep Lamichhane,Tomas Mackintosh,no run,12,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,12.2,Sandeep Lamichhane,Tomas Mackintosh,1 run,12,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,12.3,Sandeep Lamichhane,Matthew Cross,no run,12,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,12.4,Sandeep Lamichhane,Matthew Cross,1 run,12,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,12.5,Sandeep Lamichhane,Tomas Mackintosh,1 run,12,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,12.6,Sandeep Lamichhane,Matthew Cross,no run,12,Middle,True,False,0,2023-02-17,Kirtipur
