BowlingTeam,BattingTeam,Innings,Over,Bowler,Batter,Event,Over_Num,Phase,IsDot,IsExtra,EstimatedRuns,MatchDate,Venue
Nepal,Scotland,1,0.1,Gulsan Jha,Lo-handre Louwrens,no run,0,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,0.2,Gulsan Jha,Lo-handre Louwrens,no run,0,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,0.3,Gulsan Jha,Lo-handre Louwrens,no run,0,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,0.4,Gulsan Jha,Lo-handre Louwrens,2 runs,0,Powerplay,FALSE,FALSE,2,12/7/22,Windhoek
Nepal,Scotland,1,0.5,Gulsan Jha,Lo-handre Louwrens,2 runs,0,Powerplay,FALSE,FALSE,2,12/7/22,Windhoek
Nepal,Scotland,1,0.6,Gulsan Jha,Lo-handre Louwrens,no run,0,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,1.1,Sompal Sompal Kami,Divan la Cock,no run,1,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,1.2,Sompal Sompal Kami,Divan la Cock,3 runs,1,Powerplay,FALSE,FALSE,3,12/7/22,Windhoek
Nepal,Scotland,1,1.3,Sompal Sompal Kami,Lo-handre Louwrens,no run,1,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,1.4,Sompal Sompal Kami,Lo-handre Louwrens,no run,1,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,1.5,Sompal Sompal Kami,Lo-handre Louwrens,no run,1,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,1.6,Sompal Sompal Kami,Lo-handre Louwrens,no run,1,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,2.1,Gulsan Jha,Divan la Cock,no run,2,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,2.2,Gulsan Jha,Divan la Cock,FOUR runs,2,Powerplay,FALSE,FALSE,4,12/7/22,Windhoek
Nepal,Scotland,1,2.3,Gulsan Jha,Divan la Cock,2 runs,2,Powerplay,FALSE,FALSE,2,12/7/22,Windhoek
Nepal,Scotland,1,2.4,Gulsan Jha,Divan la Cock,no run,2,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,2.5,Gulsan Jha,Divan la Cock,FOUR runs,2,Powerplay,FALSE,FALSE,4,12/7/22,Windhoek
Nepal,Scotland,1,2.6,Gulsan Jha,Divan la Cock,no run,2,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,3.1,Sompal Sompal Kami,Lo-handre Louwrens,no run,3,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,3.2,Sompal Sompal Kami,Lo-handre Louwrens,1 run,3,Powerplay,FALSE,FALSE,1,12/7/22,Windhoek
Nepal,Scotland,1,3.3,Sompal Sompal Kami,Divan la Cock,no run,3,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
Nepal,Scotland,1,3.4,Sompal Sompal Kami,Divan la Cock,1 run,3,Powerplay,FALSE,FALSE,1,12/7/22,Windhoek
Nepal,Scotland,1,3.5,Sompal Sompal Kami,Lo-handre Louwrens,no run,3,Powerplay,TRUE,FALSE,0,12/7/22,Windhoek
